更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,有限会社中央学館,学習塾・予備校・専門学校,求人なし,福岡県福岡市西区今宿1-1-33,2001,取締役 中嶋 裕二,3 百万円,,,,
2024-08-01,有限会社健源社,学習塾・予備校・専門学校,求人なし,福岡県春日市若葉台西6-94-1,1997,取締役 細山 健司,3 百万円,,,,
2024-08-01,株式会社フルスイングチャレンジ,学習塾・予備校・専門学校,求人なし,大阪府岸和田市野田町1-7-2,2014,代表取締役 木曽 竹一郎,,,,,
2024-08-01,株式会社日和学園,その他・各種スクール,求人なし,鹿児島県霧島市国分新町2-15-5,2014,代表取締役 新町 栄子,9 百万円,,,,
2024-08-01,株式会社ＭＫ教育グループ,その他・各種スクール,求人なし,東京都新宿区北新宿1-12-12サンエスビル 2Ｆ,2014,代表取締役 丁 斌,9 百万円,,,,
2024-08-01,株式会社ワンコイングリッシュ,学習塾・予備校・専門学校,求人なし,東京都千代田区麹町5-3-23ヒノデビル 2Ｆ,2014,代表取締役 兒嶋 裕貴,5 百万円,,,,
2024-08-01,株式会社ユニマットマミー＆キッズ,その他・各種スクール,求人なし,東京都港区南青山2-12-14,2014,代表取締役 山内 森夫,100 百万円,,,,
2024-08-01,株式会社ティー・シー・ケー・ワークショップ,学習塾・予備校・専門学校,求人なし,東京都千代田区丸の内1-5-1新丸の内ビルディング 10Ｆ,2014,代表取締役 岡留 智史,36 百万円,,,,
2024-08-01,有限会社アメリカンラングエイジセンター,その他・各種スクール,無,神奈川県川崎市川崎区渡田山王町20-35,1974,取締役 織戸 四郎,10 百万円,,,,
2024-08-01,有限会社ビーエス,その他・各種スクール,求人なし,大阪府高槻市紺屋町7-12寺本ビル 4Ｆ,1991,代表取締役 古田 裕和,3 百万円,,,,
2024-08-01,有限会社村岡,学習塾・予備校・専門学校,求人なし,群馬県高崎市新後閑町4-10,1998,代表取締役 村岡 敬子,3 百万円,,,,
2024-08-01,有限会社エム・ワイ・アソシエイツ,学習塾・予備校・専門学校,求人なし,群馬県高崎市新保町149-2ワンズビル 102,1997,代表取締役 伊藤 真美江,10 百万円,,,,
2024-08-01,株式会社グローイング・トゥリーズ,その他・各種スクール,無,東京都江東区木場5-6-30,2003,代表取締役 柾木 史子,10 百万円,,,,"■インターナショナルスクール プリスクール・キンダーガーデン及び国際小学部 「Learning Tree International Preschool, Kindergarten and Elementary Program」の運営■有機素材のカフェ及び販売「Organic Cafe' LuLu」の運営 2023年9月doda掲載求人より引用"
2024-08-01,株式会社Ｈｏｍｅ　Ｅｄｕｃａｔｉｏｎ,その他・各種スクール,求人なし,千葉県松戸市八ケ崎5-5-1,2006,代表取締役 一條 祐一,,,,,
2024-08-01,株式会社十色舎,その他・各種スクール,求人なし,神奈川県横浜市青葉区美しが丘5-2-4,2014,代表取締役 福井 渉,9 百万円,,,,
2024-08-01,社会福祉法人城北会,学習塾・予備校・専門学校,求人なし,熊本県熊本市北区龍田陳内3-38-50,2013,理事長 米澤 静江,566 百万円,,,,
2024-08-01,株式会社Ｍｅｎｔｏｒ　Ｆｏｒ,その他・各種スクール,求人なし,東京都渋谷区宇田川町37-11大久保ビル 503,2014,代表取締役 池原 真佐子,9 百万円,,,,
2024-08-01,ＧＫ株式会社,学習塾・予備校・専門学校,求人なし,岐阜県岐阜市鹿島町1-5鹿島・スクエアビル 4Ｆ,2014,代表取締役 辻 良路,3 百万円,,,,
2024-08-01,有限会社エス・ジェイ・ディー,学習塾・予備校・専門学校,求人なし,東京都渋谷区渋谷3-10-15,1996,代表取締役 鈴木 雅実,10 百万円,,,,
2024-08-01,栄登株式会社,その他・各種スクール,求人なし,広島県広島市中区本通3-10サザンビル 3Ｆ,2008,代表取締役 藤永 真那,5 百万円,,,,
2024-08-01,株式会社アドバンスインスティチュート,その他・各種スクール,求人なし,大阪府茨木市彩都あさぎ2-5-5,1988,代表取締役 清宮 明,10 百万円,,,,
2024-08-01,株式会社ｎｅｘｕｓ,その他・各種スクール,求人なし,愛知県日進市赤池5-1602,2014,代表取締役 梶原 泰一,50 百万円,,,,
2024-08-01,株式会社アンクル,学習塾・予備校・専門学校,求人なし,愛媛県四国中央市金田町金川1041-1,2014,代表取締役 森田 信之,1 百万円,,,,
2024-08-01,株式会社ディージーエム,学習塾・予備校・専門学校,求人なし,京都府京都市右京区西院六反田町2アメニティ京都二番館1Ｆ,2014,代表取締役 下村 和也,1 百万円,,,,
2024-08-01,株式会社おおうら,学習塾・予備校・専門学校,無,大阪府大阪市北区梅田1-1-3大阪駅前第3ビル 1218,2014,代表取締役 大浦 正幸,4 百万円,,,,
2024-08-01,ＫＣＡ　Ｊａｐａｎ株式会社,その他・各種スクール,求人なし,東京都港区赤坂2-2-19アドレスビル 2Ｆ,2013,代表取締役 古賀 鉄也,95 百万円,,,,
2024-08-01,株式会社アイ・ディー・エー,学習塾・予備校・専門学校,求人なし,愛知県名古屋市南区桜本町48-2,2000,代表取締役 井田 貴俊,4 百万円,,,,
2024-08-01,ＳＴテック株式会社,その他・各種スクール,求人なし,東京都渋谷区桜丘町22-17,2014,代表取締役 清水 幸治,10 百万円,,,,
2024-08-01,株式会社とりのす,その他・各種スクール,求人なし,大分県大分市汐見1-7-31,2014,代表取締役 首藤 美紀,1 百万円,,,,
2024-08-01,株式会社グローバルサポート,その他・各種スクール,無,愛知県弥富市鳥ケ地1-41,2004,代表取締役 服部 知康,10 百万円,,,,
