更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社三洲ワイヤーハーネス,その他メーカー,求人なし,愛知県碧南市石橋町5-33,1982,代表取締役 南 友樹,26 百万円,,,,,
2024-08-01,バイオリサーチセンター株式会社,農薬メーカー,無,愛知県名古屋市東区泉2-28-24東和高岳ビル 4Ｆ,1984,代表取締役 森 清昭,20 百万円,,,,メーカー機能と商社機能を併せ持ち、医療・ライフサイエンス分野における研究機器、医療機器の製造、輸入、販売を行っています。【主な取引先】国公立大学法人（医学部、薬学部、工学部など）独立行政法人の各研究所製薬会社食品関係会社 2023年8月doda掲載求人より引用,
2024-08-01,成田酒販株式会社,食品・飲料メーカー（原料含む）,求人なし,愛知県名古屋市東区芳野1-8-5,1987,代表取締役 内藤 松雄,50 百万円,,,,,
2024-08-01,株式会社チェリオ中部,食品・飲料メーカー（原料含む）,求人なし,愛知県小牧市大字河内屋新田510-1,1976,代表取締役 菅 春貴,21 百万円,,,,,
2024-08-01,ゴムノイナキ工業株式会社,石油化学メーカー,求人なし,愛知県名古屋市緑区大高町字奥中道41,1981,代表取締役 赤坂 康也,98 百万円,,,,,
2024-08-01,株式会社加藤商事,食品・飲料メーカー（原料含む）,求人なし,愛知県名古屋市中村区藤江町2-23-1,1980,代表取締役 加藤 正義,15 百万円,,,,,
2024-08-01,野村化学株式会社,試薬メーカー・受託合成・受託分析,求人なし,愛知県瀬戸市日の出町15,1979,代表取締役 野村 貢,10 百万円,,,,,
2024-08-01,電研コテム株式会社,その他メーカー,求人なし,愛知県名古屋市西区中沼町192-2,1972,代表取締役 蓑島 裕和,32 百万円,,,,,
2024-08-01,広機通商株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,愛知県名古屋市中区千代田1-4-8,1979,代表取締役 廣瀬 友洋,20 百万円,,,,,
2024-08-01,プリムイソベン株式会社,食品・飲料メーカー（原料含む）,無,愛知県名古屋市西区丸野2-14,1974,代表取締役 小林 一茂,60 百万円,,,,,
2024-08-01,小島産業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,大阪府泉北郡忠岡町忠岡東3-5-23,1951,代表取締役 橋本 まどか,88 百万円,,,,,
2024-08-01,株式会社京都スペーサー,その他メーカー,無,大阪府堺市南区高尾1-527-1,1984,代表取締役 荒牧 花子,96 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■土木建築資材の製造、加工及び販売、土木建築工事業大阪府知事 一般建築業 許可（般-30）第74811号 2022年3月doda掲載求人より引用,
2024-08-01,ヨネ株式会社,その他メーカー,求人なし,京都府京都市中京区西ノ京西中合町23,1953,代表取締役 米田 哲三,60 百万円,,,,,
2024-08-01,株式会社高尾製作所,石油化学メーカー,求人なし,京都府京都市左京区吉田二本松町62,1948,代表取締役 藤原 裕康,50 百万円,,,,,
2024-08-01,明成化学工業株式会社,石油化学メーカー,求人なし,京都府京都市右京区西京極中沢町1,1948,代表取締役 貴志 吉延,80 百万円,,,,,
2024-08-01,互応化学工業株式会社,石油化学メーカー,求人なし,京都府宇治市伊勢田町井尻58,1953,代表取締役社長 藤村 春輝,100 百万円,,,,,
2024-08-01,新日本理化株式会社,石油化学メーカー,求人なし,大阪府大阪市中央区備後町2-1-8備後町野村ビル,1919,代表取締役 社長執行役員 三浦 芳樹,"5,660 百万円",,,,,スタンダード
2024-08-01,ミヤコテック株式会社,その他メーカー,求人なし,京都府京都市伏見区下鳥羽但馬町169,1961,代表取締役 市川 克一,24 百万円,,,,,
2024-08-01,吉田商事株式会社,石油化学メーカー,求人なし,京都府京都市伏見区下鳥羽広長町199,1951,代表取締役 吉田 隆,50 百万円,,,,,
2024-08-01,株式会社二条丸八,繊維メーカー,求人なし,京都府木津川市相楽台3-1-5,1960,代表取締役 倉 正治,76 百万円,,,,,
2024-08-01,株式会社大和工芸,文房具・事務・オフィス用品メーカー,求人なし,京都府京都市山科区大塚高岩12-55,1961,代表取締役社長 稲本 初彌,20 百万円,,,,,
