更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-07-01,株式会社にしき食品,食品・飲料メーカー（原料含む）,2,■事業内容： レトルト食品製造販売、店舗運営■営業品目：業務用ソース類、惣菜、お粥他,宮城県岩沼市下野郷字新関迎265-1,1952,37.0,530,30百万円,http://www.nishiki-shokuhin.jp/,,
2024-07-01,池田東北株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,2,■事業内容：・ボックスカルバート、ヒューム管、共同溝、L型擁壁、水路用品、道路用品など各種プレキャスト・コンクリート製品の製造販売並びに設計施工,福島県岩瀬郡鏡石町境180,1986,,75,42百万円,http://www.ikeda-touhoku.co.jp/,,
2024-08-01,株式会社宏機製作所,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,3,■事業内容： プラスチック製品の金型製作、射出成形、加飾（フィルム成形）、組立,茨城県守谷市百合ヶ丘1-2411-2,1984,42.0,79,20百万円,https://www.kohki-ss.jp/,,
2024-07-01,八潮化学株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,4,■事業内容：主として食品・生活用品用包装材の製造・販売を行っています。・高速グラビア印刷・様々な素材の組み合わせによるドライラミネート加工・接着剤を使わず環境に優しい独自の押出ラミネート（エコロラミネート）・成形加工用の印刷ラミシート,茨城県守谷市百合ケ丘1-2438-1,1983,35.0,85,46百万円,http://yashio-gp.co.jp/,,
2024-07-01,株式会社北研,食品・飲料メーカー（原料含む）,1,■事業内容： ・きのこ種菌の製造販売・きのこ菌床の販売・きのこ生産用機器及び資材の販売・きのこ栽培プラントの請負工事・きのこ類の生産販売,栃木県下都賀郡壬生町中央町13-1,1961,,119,50百万円,https://www.hokken.co.jp/,,
2024-07-01,有限会社みやぎダイキャスト,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容：アルミダイカスト製品製造・当社は長年アルミダイカスト部品の製造を行ってきました。その中で磨いてきた技術と蓄えられたノウハウをもとに、高い精度での商品を製造し、全体的な製造コストの削減にもつなげています。日々技術の向上を図り、自動車・電子機器・精密機械部品等の製造を行っております。・品質検査：高い精度での商品を製造するために、造り上げた製品の検査工程は欠かせません。取引先様からの信頼に応えるよう、部品の安定供給を第一に取り組んでおります。,宮城県伊具郡丸森町大内字七夕45,1979,47.0,21,3百万円,https://www.big-advance.site/s/194/1474/company,,
2024-06-01,株式会社横塚製作所,機能性化学（有機・高分子）メーカー,1,■事業内容： 成形事業：真空成形・圧空成形機によるプラスチックシート材のトレイ加工製函事業：プラスチックダンボールによる加工,宮城県伊具郡丸森町舘矢間舘山字坪石44,1969,45.0,58,32百万円,https://yokotsuka-ss.jimdofree.com,,
2024-07-01,株式会社すが野,食品・飲料メーカー（原料含む）,2,■事業内容：・地元の契約農家で栽培した低農薬野菜を使用した、らっきょう、しょうが、ごぼう等の漬物の製造／販売を行っています。・取引先は大手総合スーパー、大手外食チェーン店等、全国を対象に展開しています。,栃木県下都賀郡壬生町大字壬生甲3127,1958,36.0,90,20百万円,https://www.sugano-foods.co.jp/,,
2024-07-01,ノーラエンジニアリング株式会社,住宅設備・建材メーカー,6,■事業内容：パッキングの製造・販売、和用品雑貨類の販売、鉄製各種業務用作業台の製造・販売、管工事・板金工事・鋼構造物工事業、省力機械装置・空気清浄装置の設計・製作・販売・輸出入業務、製缶工事業、建築設備配管・工場設備配管の設計、配管構成材加工製品・管継手の製造・販売・輸出入業務、配管用材料の販売・輸出入業務、コンピュータソフトの開発・販売・輸出入業務、電気・給排水・空調設備の計画・調査・設計、メンテナンスに関する業務、取付工事に関する業務,東京都千代田区飯田橋4-8-4第二プレシーザビル3F,1991,42.0,160,98百万円,http://www.nowla.co.jp/,,
2024-07-01,日本技研工業株式会社,石油化学メーカー,1,"■会社HP：http://www.nippon-giken.co.jp/■会社情報：設立1966年4月26日、資本金3,720万円■拠点：東京、埼玉（埼玉事業所：埼玉県北葛飾郡杉戸町大字深輪100-2 名鉄運輸㈱ 杉戸流通事業所内）■事業概要：主に家庭向けの食品保存袋、ごみ袋、水切り袋等、生活に密着した商品を取り扱っています。皆さまに安心して使っていただけるよう、便利で使いやすい商品の開発に取り組み、製品の安全性とともに環境への配慮など毎日の暮らしに適応した高品質な製品を皆さまの元へお届けしております。■取扱商品：各種ポリ袋・ゴミ袋・水切り袋・その他プラスチック製品など",東京都中央区日本橋3-2-9三晶ビル3F,1966,,49,37百万円,http://www.nippon-giken.co.jp/,,
2024-07-01,第一化成株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,3,"■会社概要・1963年設立,栃木県下野市に本社を置き、工場2ヶ所（本社工場と壬生工場）、営業所3か所（本社営業所・大阪営業所・名古屋営業所）、海外工場3か所{マレーシア・中国（東芫）・ベトナム（ハノイ）}あります。売上構成は自動車部品６０％、住宅生活家電部品２０％、残りがＯＡ・映像機器分野です。■事業内容・プラスチック、ニューセラミックスおよびその複合材による精密射出成型品の製造・販売。射出成型用精密金型の設計・製造・販売。・プラスチック部品を中心とした電子部品、ゴム製品、プレス部品などの精密組立ならびにユニット製品の設計・製造・販売。",栃木県下野市下古山154,1963,50.0,318,310百万円,http://www.ikka.co.jp/,,
