更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-06-01,協和スチール株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,■事業内容：・一般鋼材、鋼板切断加工・鉄鋼二次製品および建設資材販売,兵庫県加西市畑町2283-1,1977,80,80百万円,46.0,http://www.kyowasteel.com/,,
2024-07-01,株式会社稲葉鈑金工作所,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容：鈑金加工、試作鈑金加工、治工具、機械加工,愛知県大府市桃山町1-61-2,1963,80,10百万円,,なし,,
2024-08-01,積水ソフランウイズ株式会社,総合化学メーカー,6,■事業内容： （1）プラスチックス製品その他化学製品の製造・加工、販売（2）産業機械・器具・装置の製作、販売（3）天井材・壁材・床材等建築資材の製造、加工、販売（4）土木・建築工事の設計、施工、管理、請負,東京都千代田区岩本町2-4-3太陽生命神田ビル9F,1987,129,320百万円,,http://www.sekisui-soflan-wiz.com,,
2024-08-01,株式会社東洋発酵,食品・飲料メーカー（原料含む）,求人なし,,愛知県大府市吉川町1-39-1,1986,,90 百万円,,"Failed to retrieve page, status code: 410",代表取締役 木村 浩,
2024-08-01,株式会社小西生コン,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,5,■事業内容：生コンクリートの製造・販売※瀬戸工場では、建材工場にて砂・砂利の製造・販売も行っています。■事業の特徴：愛知県内に5工場を有する中堅の生コン製造会社です。工場の改修・更新による最新設備の導入により、省力化・効率化をはかっています。■同社の方針：「改善又改善」のスローガンを忘れずに全社員一丸となる。,愛知県名古屋市名東区上社2-105,1987,150,10百万円,56.7,https://konishi-namacon.com/,,
2024-06-01,キョーリンフード工業株式会社,食品・飲料メーカー（原料含む）,1,■事業内容： 観賞魚、小動物、爬虫類などの小型ペット飼料の製造・開発,兵庫県姫路市南町9,1979,108,45百万円,38.6,https://www.kyorin-net.co.jp/index.html,,
2024-08-01,中部飼料株式会社,飼料メーカー,16,■事業内容：・畜産、水産用配合飼料の製造販売…課題を共有することで、課題解決型提案営業を実施。カスタムメイド飼料で差別化を展開。・家畜診療業務…家畜の衛生管理、病理検査、飼育技術指導等をトータルサポート。・畜水産物の販売…特殊卵ごまたまご、いもぶた、さわやかチキン、恵比寿ぶり等の畜水産物や食品を大手スーパーへ仲介、販売。・有機入り配合肥料の製造販売…天然由来の原料を使用した配合ペレット肥料や、鶏糞をリサイクル活用した特殊肥料等を販売。田畑だけでなくゴルフ場での利用も拡大。,愛知県名古屋市中区錦2-13-19瀧定名古屋ビル5F,1949,427,"4,736百万円",41.0,https://www.chubushiryo.co.jp/,,プライム市場
2024-07-01,サントリー知多蒸溜所株式会社,食品・飲料メーカー（原料含む）,3,■事業内容：酒類（グレーンウイスキー、スピリッツ）の製造および副産物販売■事業の特徴：・同社はサントリーグループの一員としてとうもろこしを主原料とするグレーンウイスキー原酒の製造を行なっています。・知多にあるグレーンウィスキー蒸溜所は、様々なウイスキーの味わい設計に対応するため、1蒸溜所で複数のタイプのウイスキー原酒をつくり分けている蒸溜所です。世界でも稀な製造現場であり、ノウハウや知識が蓄積されています。,愛知県知多市北浜町16,1972,54,100百万円,35.0,http://www.suntory.co.jp/recruit/group/corp/sungrain.html,,
2024-08-01,アセック株式会社,石油化学メーカー,4,【Sixxon Group唯一／エレクトロニクス領域に特化した接着剤メーカー】■事業内容：(1)接着剤の製造・販売(2)接着剤の塗布及び硬化設置の製造及び販売(3)接着剤の仕入れ、販売(4)接着剤の加工及び加工に関するコンサルタント,神奈川県相模原市中央区南橋本3-9-3,1987,32,90百万円,43.0,http://www.asec-jp.com/,,
2024-08-01,蟹江工業株式会社,住宅設備・建材メーカー,5,■企業概要：豊富な知識と経験、充実した機械システムと一貫した生産システムで、鋼製建具の未来を切りひらきます。■事業内容：鋼製建具の設計・製作・販売・施工,愛知県知立市谷田町宝土1,1948,41,10百万円,40.0,http://kanie-kougyou.co.jp/,,
2024-08-01,株式会社MARUWA,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,58,■事業内容：エレクトロニクス用・産業用セラミックス及び電子部品の開発・製造・販売,愛知県尾張旭市南本地ケ原町3-83,1973,1309,"8,646百万円",,http://www.maruwa-g.com,,プライム市場
2024-08-01,株式会社大阪砕石工業所,金属・製綱・鉱業・非鉄金属メーカー,3,■事業概要：自然からしか得られない貴重な資源である「石」。同社は、自然環境の保全をめざした生産・工事体制を構築するとともに、地域社会との調和を図る事業を展開しています。生産時はもとより原石採取後の跡地利用まで、環境保全を促進する多様な技術開発など、さまざまな取り組みを推進しています。,大阪府大阪市北区堂島1-5-17堂島グランドビル6F,1948,80,99百万円,47.0,http://www.osakasaiseki.co.jp/saiseki/index.php,,
2024-07-01,大西化成興業株式会社,機能性化学（有機・高分子）メーカー,1,■事業内容： ・発泡スチロール一般成形品（構造部品・緩衝材・容器及び雑貨）の販売・射出成形品（構造部品及び雑貨）の販売・建築材（断熱用発泡スチロール）の販売製造部門である㈱大西コルク工業所の販売部門として、大西合同運輸㈱等大西グループのネットワークでお客様のニーズにお答え致します。,大阪府大阪市北区東天満2-8-8,1964,13,40百万円,,https://oc-kaseikogyo.com,,
