更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,上場市場名
2024-06-01,株式会社愛幸,道路貨物運送業（宅配便・トラック運送など）,1,■事業内容：一般貨物自動車運送事業■当社の特徴：女性社長ならではの、主婦として母として社長としての知識や考え方を活かした食品輸送事業を展開しております。健康を願い作り続けてきた食事から、生まれた食品に対する知識、細やかな心遣いで、お客様・従業員・関係者様皆様の笑顔を願い、丹精込めて作られた商品を大切に大切にお客様の元へ運ばせていただいております。ドッグシェルター付き冷蔵庫を完備しており、全車輛冷凍冷蔵機付き車輛にて物流センター等に配送しております。,愛知県豊橋市天伯町字東天伯7,1980,,39,,,https://www.big-advance.site/s/146/1310,
2024-08-01,株式会社村山運輸,道路貨物運送業（宅配便・トラック運送など）,6,■事業内容： ・貨物自動車運送事業・倉庫業務・各種製品加工事業・その他の業務,東京都新宿区百人町3-8-13,1952,,250,10百万円,,https://murayama-unyu.com,
2024-07-01,川菱産業株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■事業内容： 陸上貨物運送（自動車部品・機械など）倉庫業務（管理・保管など）納入代行,神奈川県川崎市中原区木月4-52-1,1968,,75,10百万円,,https://kawabishi-ind.com/,
2024-07-01,株式会社シー・リンク,道路貨物運送業（宅配便・トラック運送など）,1,利用運送業（海陸複合一貫輸送）,兵庫県神戸市中央区磯辺通2丁目2-16 三宮南ビル6階,2000,代表取締役社長 植田 哲弘,100,,41.0,http://www.sea-link.jp/top.asp,
2024-06-01,株式会社ロジクエスト,海運業,1,■貨物軽自動車運送事業・運送取次事業・一般貨物自動車運送事業■国際貨物輸送事業【航空・海上貨物輸送および通関】■緊急配送事業・特定信書便事業【1・2・3号役務】,東京都千代田区大手町2-2-1 新大手町ビル4階,1985,代表取締役 三ツ木 研二,564,"7,000万円",,https://logiquest.co.jp/,
2024-07-01,日通ＮＥＣロジスティクス株式会社,道路貨物運送業（宅配便・トラック運送など）,3,■事業内容：・貨物利用運送事業・貨物自動車運送事業・航空貨物運送代理店業・海上貨物運送代理店業・通関業・輸出入業務の事務代行に関する業務・倉庫業・荷造、包装および計数ならびにこれらの管理,神奈川県川崎市中原区小杉町1-403武蔵小杉STMビル,1972,,1947,380百万円,,https://www.nittsu-necl.co.jp/,
2024-07-01,都運輸倉庫株式会社,道路貨物運送業（宅配便・トラック運送など）,3,■事業内容： 一般貨物自動車運送事業／特別積合せ貨物運送（旧路線）／鉄道貨物運送事業（旧通運）／第一種利用運送事業／倉庫業／自動車販売業／古物商■特徴・大型工業製品、工業原料、精密機械から食品、日用品に至る様々な商品を取り扱っており、全国各地に輸送してきた実績があります。・各種の法律及び条令に適合する車輌を運行に用いるなど、環境問題に積極的に取り組んでいます。・多くの優良取引先と共に安全経営を継続しています。・ISO9001、14001の認証取得、安全優良事業所の認定、働きやすい職場認定制も受け、安全、安心、信頼を基に更なる発展を目指しています。,京都府八幡市下奈良一丁地22-1,1974,,50,80百万円,,http://www.miyakounyu.co.jp/index.html,
2024-07-01,神姫バス株式会社,道路旅客運送業,1,路線バスをはじめ、わたしたちが提供する輸送サービス事業は、地元の皆様の大切な足として定着しています。そこで培ったグループならではのネットワークや情報・ノウハウを活かして、車両の整備や部品の販売を行う自動車関連サービス事業と、旅行・不動産・飲食・介護などの生活サービス事業を手掛け、豊かな暮らしの創造と地域社会の発展に貢献しています。これからも地域に根ざして、積極的に事業を展開していきます。,兵庫県姫路市西駅前町1,1927,代表取締役社長 長尾 真,1939,31億4000万円,49.0,http://www.shinkibus.co.jp/index.html,スタンダード市場
2024-06-01,アキタ株式会社,道路貨物運送業（宅配便・トラック運送など）,2,■事業内容：昭和20年に創業以来、「物流」を軸に事業展開しています。愛知県を中心に拡大し全国に営業所を設けています。現在は東海エリアを代表する大手スーパーの物流部門の約6割を当社が担っています。もともとは、お客様が全国的に店舗展開する以前から、当社の創業者が物流部門をお手伝いしていたことがスタートとなる為、今では強い信頼関係が構築され業務提携へつながっています。当社はお客様の成長と共に事業を大きくしており、昨年対比で112～113%の成長を維持しています。,愛知県名古屋市中村区平池町4-60-12グローバルゲート10F,1948,,1040,20百万円,,http://www.akita-inc.co.jp/company.html,
2024-08-01,アリさんマークの引越社（株式会社引越社）,道路貨物運送業（宅配便・トラック運送など）,28,【オリコン顧客満足度調査】引越し会社ランキングにおいて、優秀企業を17年連続で獲得しました！※2008年～2024年【引越し会社についてのインターネット調査 3部門にてNO.1の評価を獲得】 ※株式会社ショッパーズアイ調べ一般家庭の引越し、事務所移転等の引越し／エアコン、TVアンテナ等の電気工事ピアノ、金庫など重量物の移転／自動車、オートバイの陸送／新築マンションの一斉入居管理,株式会社引越社 東京本部東京都江戸川区松本2-34-6 3F,1971,代表取締役 空 雅英,1175,12百万円,29.4,"Failed to retrieve page, status code: 410",
2024-07-01,株式会社マイロジ,道路貨物運送業（宅配便・トラック運送など）,6,■事業内容：一般貨物自動車運送事業,愛知県一宮市木曽川町黒田十二ノ通り1,1972,,191,15百万円,,https://mylogi.co.jp/,
2024-08-01,中村運輸倉庫株式会社,倉庫業・梱包業,1,運輸業・倉庫業・物流加工業（値札付け、検品、検査、シール貼りなど）,大阪府大東市氷野3-13-1,1953,代表取締役社長 中村 喜英,114,4980万円,,http://www.nakamura-unyusoko.jp/,
