更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,リブレス株式会社,不動産仲介,無,東京都新宿区西新宿3-15-5ライオンズマンション西新宿703,2004,代表取締役 堤 浩行,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,◆不動産売買仲介業◆不動産管理業◆新築一戸建ての分譲・施工◆中古住宅のリノベーション事業◆損害保険代理店業◆住宅ローンコンサルティングほか【事業所】・吉祥寺本社・杉並支店（高円寺）・西東京支店(東伏見)【許認可】・免許番号 東京都知事免許（2）第96237号・建設業許可 東京都知事許可（般-27）第143406号・二級建築士事務所 東京都知事登録 第15904号 2024年3月doda掲載求人より引用
2024-08-01,株式会社Ｍｏｖｉｎｇ,不動産仲介,求人なし,東京都足立区保木間1-7-6,2001,代表取締役 今野 匡昭,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社沖縄ゼネラル,設備管理・メンテナンス,求人なし,沖縄県那覇市泊1-3-2,2001,代表取締役 長嶺 善憲,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社沖縄トラスコン,ゼネコン,求人なし,沖縄県沖縄市知花6-8-17セイワビル 1Ｆ,2006,代表取締役 奥間政一郎,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社田坂塗装工業,サブコン,求人なし,東京都西多摩郡瑞穂町大字駒形富士山385-2,2000,代表取締役 田坂 光正,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社フォルテック,サブコン,求人なし,東京都杉並区清水3-25-13,1965,代表取締役 齊藤 慎一,27 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社リアルランド,建築設計事務所,求人なし,東京都世田谷区上馬5-28-11,2003,代表取締役 伊藤 二郎,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社中馬工業,内装・インテリア・リフォーム,無,東京都北区赤羽西6-6-12,1995,代表取締役 中馬 誠,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 建築部門：置床工事、フローリング工事、リフォーム工事、左官工事、 内容工事、造作工事、床暖工事（JX日鉱日石特約工事店）飲食部門：やきとり家 すみれ 志木店・ひばりヶ丘店・北千住店・本八幡店・浦和店 2021年8月doda掲載求人より引用
2024-08-01,株式会社ＩＮＯＸ,住宅設備・建材,求人なし,東京都江東区深川1-4-6菊池ビル 2Ｆ,2001,代表取締役 井上 信雄,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社クリア住設,設備管理・メンテナンス,求人なし,東京都足立区入谷5-10-5,1996,代表取締役 宍戸 美樹,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ケイアド,設備管理・メンテナンス,求人なし,埼玉県八潮市八潮6-17-4,2002,代表取締役 小杉 豊,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,イノベイジア株式会社,設備管理・メンテナンス,求人なし,東京都千代田区岩本町1-3-3プロスパービル 4Ｆ,2001,代表取締役 グレン グロー,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,伸和株式会社,建設・プラント・不動産業界,求人なし,東京都渋谷区幡ヶ谷2-56-5都営住宅 1Ｆ,1972,代表取締役 日髙 亨,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,大富管財株式会社,不動産仲介,求人なし,東京都目黒区碑文谷5-10-2,1963,代表取締役 梶原 寿太郎,86 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ジェイホームズ株式会社,住宅（ハウスメーカー）,無,神奈川県横浜市都筑区中川1-6-12金陵電気ビル,2005,代表取締役 牧野 伸一,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社サイン・インテリア・コンストラクション,ゼネコン,求人なし,東京都世田谷区三宿2-13-3,2004,代表取締役 小宮 賢,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
