更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,上場市場名
2024-07-01,株式会社コネクタブルー,経営・戦略コンサルティング,3,■事業内容：・経営コンサルティング事業コネクタブルーは複数の業界やテーマの複合する高難度のPJテーマを得意とした、少数精鋭のプロフェッショナルファームです。新規事業開発やDX、構造改革などのテーマに対し、コンサルティングとクリエイティブを融合させた新たなアプローチを提案し、クライアントの成長に向けEnd to Endで伴走支援を致します。,東京都港区南青山2-4-8LAPiS青山Ⅱ5F,2022,,,2,https://connectablue.com/,10百万円,
2024-08-01,株式会社ＤＣＸｆｏｒｃｅ,経営・戦略コンサルティング,18,■事業内容： 企業とカスタマーを繋ぐデジタル体験をつくり、育てる会社として、DCXの課題を解決する推進力を提供しています。,東京都港区麻布台1-3-1,2022,,,,https://dcxforce.co.jp/,50百万円,
2024-08-01,株式会社レキシ,その他専門コンサルティング,2,■会社紹介：1.新しい営業の形を創るSaaS：これまでセールスフォースが作った営業の枠組みをアップデート。脳科学とテクノロジーを活用して営業のあり方を変えるサービス＆SaaSプロダクトを開発2.M&Aによる事業再生：M&Aを行い、セールスとテクノロジーの力で事業を再生。良い商品やサービスがしっかりと人々に広まる世の中へ。,東京都中央区八丁堀3-17-12小松ビル4F,2022,,,,https://rekishi.co/,10百万円,
2024-08-01,株式会社Ｉｎｔｅｇｒｉｔｙ,経営・戦略コンサルティング,2,■事業内容： 「挑戦者と同じ船に乗り、社会に資する事業を創造する」をミッションに以下の事業を運営◆投資事業：スタートアップ企業への出資/JV設立/共同創業等◆コンサルティング事業：大企業・中堅企業への戦略コンサルティング/IR支援/IPO支援/M&A/バリューアップコンサルティング等◆関連事業：スタートアップスタジオの企画・運営/不動産事業等,東京都渋谷区渋谷2-24-12渋谷スクランブルスクエア15F,2022,,,,https://integrity-sbp.com/,5百万円,
2024-07-01,株式会社ＲＯＬＥＵＰ,経営・戦略コンサルティング,2,■事業内容： ・M&Aアドバイザリー事業・経営コンサルティング事業・投資事業、ファンド運営支援事業・プロフェッショナル人材の育成・派遣,東京都渋谷区恵比寿4-20-3恵比寿ガーデンプレイスタワー18F,2022,,33.0,4,https://roleup.co.jp/,,
2024-07-01,テラスホールディングス株式会社,経営・戦略コンサルティング,2,■事業内容：「人と街の歴史を未来につなげる」まちづくり創造事業を手がけるテラスホールディングスグループは、次の4分野で事業を展開しています。・再生事業・集う事業・創造事業・暮らし事業,広島県広島市西区己斐本町3-17-24,2022,,,54,https://www.terrace-hd.co.jp/,100百万円,
2024-08-01,株式会社アグリッター,その他専門コンサルティング,2,技術関連のコンサルティング業務■機械・電気・電子の構想開発設計■実験・生産技術業務■分析のアウトソーシング業務■プログラミング開発■採用支援事業■Webサイト制作、システム開発、Webアプリ開発■電気自動車の自社開発■労働者一般派遣事業 派27-302033,愛知県名古屋市中村区名駅南2丁目14-19 住友生命名古屋ビル14F,2022,代表取締役 吉田 眞教,,70,https://aglitter.co.jp/,2000万円,
2024-06-01,税理士法人Ｆｉｖｅ　Ｓｔａｒパートナーズ,税理士法人,1,■事業内容： 税務顧問・月次決算、決算書作成・財務分析・財務コンサルティング、税務申告書作成・納税予測・節税対策、セカンドオピニオン（税理士変更相談）、黒字化支援、資金繰り相談・資金調達・融資支援、事業承継コンサルティング、税務調査立会い・税務当局との交渉、会社設立サポート・創業支援・開業支援、相続税対策・相続税申告書の作成、書面添付制度サービス、記帳代行、事業計画書作成サポート、自計化支援、セミナーの開催・セミナー講師派遣、生命保険活用相談,大阪府大阪市北区中崎西2-2-110F,2005,,,14,https://www.hiro-tax.com/,,
2024-06-01,株式会社DigiMan,経営・戦略コンサルティング,2,■事業内容： ～コンサルティング事業～Sales / Customer Success / HRなど企業課題に対して、上流の戦略設計からエグゼキューション管理や代行まで、一気通貫で実施しております。主に、シリーズB~Cフェーズのスタートアップ企業様や、製造業中堅企業様の組織改革を行っております。～Salesforceインプリ事業～Salesforceの導入支援から保守運用まで実施しております。～営業代行事業～ISやFSの代行を行っており、企業の製品を販売代行しております。（営業支援のコンサルティングのお客様の商品を販売することが多いです）,東京都目黒区原町1-34-12201,2022,,28.0,9,https://digi-man.co.jp/,,
2024-08-01,株式会社ＥＮＥＲＡＬＬ,その他専門コンサルティング,1,■事業内容： 企業の営業代行・支援、営業コンサルサービスの提供・学校マーケットに特化した営業支援サービス『SSS』・業界を問わない営業支援サービス『Sales Buddy』,福岡県福岡市中央区長浜3-16-6-1002,2022,,,3,https://www.enerall.co.jp/,,
2024-08-01,株式会社ｋａｓａｎａｒｉ,経営・戦略コンサルティング,1,■事業内容： （１）戦略コンサルティング（２）メディアアート,東京都千代田区九段南1-5-6りそな九段ビル5F・KSフロア,2022,,31.0,2,https://kasanari.co.jp/,1百万円,
2024-07-01,株式会社ＮＵＸＥ,組織人事コンサルティング,2,■事業内容： 株式会社NUXEは外資系専門エージェント出身者により設立された、人材エージェントになります。主に大手製造業、エネルギー関連企業、スタートアップ企業に対し採用のコンサルティングを行い、転職希望候補者に対しては、キャリアについて支援をさせて頂きます。Xとは「未知なる人間や物事」を表しています。また、”ex”で始まる言葉（excellent:卓越、experience:経験、explosion:爆発 ex）の省略でもあります。我々はすべてのアウトプットの入口である人材を通し、日本だけでも400兆円を超える市場規模である製造業に、新しいミチを創造します。,東京都港区赤坂5-2-33,2022,,,,https://nuxe-inc.com/,5百万円,
2024-08-01,株式会社日本経営総合研究所,経営・戦略コンサルティング,1,■M&Aアドバイザリー事業＜譲渡をお考えの方へ＞経営者の真の悩みに対し、解決策をご提案└業界に精通した弊社コンサルタントが経営者と何度も面談を重ね、経営者の真の悩みを理解させていただき、最良な解決策をご提案＜譲受をお考えの方へ＞業界に精通したコンサルタントがM&A戦略をサポート└上場企業の適時開示案件・売上80億円以上の譲渡企業のM&A支援を含む過去100社以上のM&A実績あり,東京都千代田区平河町2丁目16-9 永田町グラスゲート2階,,代表取締役 田中 直樹,29.0,30,https://www.jbci.co.jp/,,
2024-07-01,株式会社チェンジ,組織人事コンサルティング,9,■事業内容：AI 、音声インターネット、モビリティ、IoTビッグデータ、クラウド、セキュリティなどの各種アルゴリズム群のライブラリ及び基盤テクノロジーを活用したサービス及びIT人材育成の研修（NEW-ITトランスフォーメーション事業）,東京都港区虎ノ門3-17-1,2022,,,,https://biz.change-jp.com/,10百万円,
2024-08-01,スタートパートナーズ税理士法人,税理士法人,7,■事業内容・会社設立・創業支援・個人事業主支援・税務顧問・経理代行・融資支援・決算・所得税・贈与税・相続税・税務調査・経営計画,大阪府大阪市北区梅田1-11-4大阪駅前第4ビル,2023,,28.0,25,なし,,
2024-07-01,株式会社ＧＫＳ,経営・戦略コンサルティング,7,■事業内容： ・給食受託事業・コンサルティング事業・開業・経営に関する企画、支援、コンサルティング・習いごと事業・海外事業■企業理念：「子ども達の未来のために」,東京都千代田区富士見2-14-36,2023,,,,https://www.gkids.co.jp/,3百万円,
