更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,ツネクニ電気株式会社,石油・資源,求人なし,,大阪府大阪市東淀川区豊里6-29-8,1965,,10 百万円,,,,代表取締役 常國 克輔
2024-08-01,エア・ウォーター・エンジニアリング株式会社,ガス,求人なし,,大阪府堺市西区築港新町2-6-40,1981,,300 百万円,,,,代表取締役社長 三橋 敏宏
2024-08-01,株式会社加越ボイラーサービスセンター,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,,石川県金沢市間明町2-244,1974,,10 百万円,,,,代表取締役 柳澤 晋一
2024-08-01,東洋ガスメーター株式会社,石油・資源,求人なし,,富山県射水市本江2795,1962,,100 百万円,,,,代表取締役 水越 靖
2024-08-01,北酸株式会社,ガス,求人なし,,富山県富山市本町11-5北酸（株）,1937,,47 百万円,,,,代表取締役 山口 昌広
2024-08-01,カイセキ産業株式会社,石油・資源,求人なし,,和歌山県海南市藤白758,1964,,20 百万円,,,,代表取締役社長 後藤 俊彦
2024-08-01,北海道電力株式会社,電力,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ＜北海道電力株式会社＞電気事業、ガス供給事業、電気通信事業、各種コンサルティング・エンジニアリングなど（設立：1951年5月1日）プライム市場上場＜北海道電力ネットワーク株式会社＞一般送配電事業、離島における発電事業（設立：2019年4月1日） 2022年10月doda掲載求人より引用,北海道札幌市中央区大通東1-2,1951,,"114,291 百万円",,,プライム,代表取締役社長 社長執行役員 藤井 裕
2024-08-01,帯広ガス株式会社,石油・資源,求人なし,,北海道帯広市西九条南8-5,1957,,148 百万円,,,,代表取締役 内木 真紀衣
2024-08-01,兼松油槽株式会社,石油・資源,求人なし,,東京都千代田区神田須田町1-1神田須田町スクエアビル 9Ｆ,1959,,100 百万円,,,,代表取締役 青木 淳一郎
2024-08-01,西日本技術開発株式会社,石油・資源,求人なし,,福岡県福岡市中央区渡辺通1-1-1電気ビルサンセルコ別館 10Ｆ・9Ｆ・8Ｆ・5Ｆ・4Ｆ,1967,,40 百万円,,,,代表取締役 穐山 泰治
2024-08-01,西日本オートメーション株式会社,石油・資源,求人なし,,福岡県福岡市博多区堅粕4-23-12,1979,,30 百万円,,,,代表取締役 小貫 順
2024-08-01,大丸エナウィン株式会社,電力,求人なし,,大阪府大阪市住之江区緑木1-4-39,1951,,870 百万円,,,スタンダード,代表取締役社長 古野 晃
2024-08-01,新発田ガス株式会社,ガス,求人なし,,新潟県新発田市豊町1-4-23,1932,,100 百万円,,,,代表取締役 佐藤 哲也
2024-08-01,株式会社ミツウロコグループホールディングス,石油・資源,求人なし,,東京都中央区京橋3-1-1東京スクエアガーデン,1926,,"7,077 百万円",,,スタンダード,代表取締役社長 ＣＥＯ 田島 晃平
2024-08-01,富士電気興業株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,,東京都中央区日本橋馬喰町1-6-3吉野第一ビル 6Ｆ,1949,,50 百万円,,,,代表取締役 松野 勝巳
2024-08-01,一般財団法人電力中央研究所,石油・資源,求人なし,,東京都千代田区大手町1-6-1大手町ビル 7Ｆ,1951,,,,,,代表理事 平岩 芳朗
2024-08-01,日本ウレタンエンジニアリング株式会社,石油・資源,求人なし,,東京都千代田区神田佐久間町2-22-303秋葉原再開発ビル 303,1986,,22 百万円,,,,代表取締役 鬼頭 世浪
2024-08-01,共和メンテナンス株式会社,石油・資源,求人なし,,東京都品川区西五反田7-25-19共和ビル 2Ｆ,1978,,20 百万円,,,,代表取締役 橋本 正明
2024-08-01,入間ガス株式会社,石油・資源,求人なし,,埼玉県入間市扇台1-5-25,1972,,96 百万円,,,,代表取締役 中澤 理
2024-08-01,株式会社イワサワ,石油・資源,求人なし,,神奈川県横浜市神奈川区神奈川2-16-15,1957,,60 百万円,,,,代表取締役 岩澤 昌之
2024-08-01,江場酸素工業株式会社,ガス,求人なし,,愛知県名古屋市港区本星崎町字南4047-17,1941,,13 百万円,,,,代表取締役 江場 千津子
2024-08-01,知多エル・エヌ・ジー株式会社,石油・資源,求人なし,,愛知県知多市南浜町27-1,1980,,100 百万円,,,,代表取締役 中川 敏治
2024-08-01,松本ガス株式会社,ガス,求人なし,,長野県松本市渚2-7-9,1919,,200 百万円,,,,代表取締役 清水 是昭
2024-08-01,株式会社ヨネシマ,ガス,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■LPガス販売 ■住まいのリフォーム■関電ガスサポートショップ■住宅設備機器販売施工 など＜営業許可＞■液化石油ガス（東大阪市長第27B2836）■高圧ガス販売（大阪府指令計量第3593）■簡易ガス事業（近畿経済産業局） 2023年3月doda掲載求人より引用,大阪府東大阪市御厨西ノ町1-1-9,1963,,10 百万円,,,,代表取締役 米島 達雄
2024-08-01,棚橋電機株式会社,石油・資源,求人なし,,大阪府大阪市城東区蒲生1-4-13,1970,,20 百万円,,,,代表取締役 棚橋 秀行
2024-08-01,株式会社みつば電気,石油・資源,求人なし,,兵庫県尼崎市西難波町3-17-13,1967,,20 百万円,,,,代表取締役 岡本 光代
2024-08-01,セブンテイーン株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,無,,京都府京都市右京区西京極西向河原町3-2,1979,,10 百万円,,,,代表取締役 下岡 敏春
2024-08-01,平尾電機株式会社,電力,求人なし,,岡山県岡山市北区今保61,1948,,20 百万円,,,,代表取締役 平尾 隆嗣
2024-08-01,株式会社八洲電業社,石油・資源,無,,埼玉県さいたま市北区日進町3-37-1,1959,,60 百万円,,,,代表取締役 吉村 光司
2024-08-01,房州瓦斯株式会社,ガス,求人なし,,千葉県館山市館山1365,1933,,94 百万円,,,,代表取締役 本間 充
2024-08-01,神戸熱供給株式会社,電力,求人なし,,兵庫県神戸市中央区脇浜海岸通1-5-1国際健康開発センタービル 1Ｆ,1996,,200 百万円,,,,代表取締役 加嶋 浩敏
2024-08-01,黒部川電力株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,,東京都千代田区霞が関3-2-1霞が関コモンゲート西館 24Ｆ,1923,,"3,000 百万円",,,,代表取締役 平井 修一
2024-08-01,東海通信器材株式会社,石油・資源,求人なし,,東京都八王子市明神町4-1-12,1965,,10 百万円,,,,代表取締役 加島 佑一
2024-08-01,衣浦ユーティリティー株式会社,石油・資源,求人なし,,愛知県碧南市玉津浦町2-2,1972,,480 百万円,,,,代表取締役 倉地 聡一郎
2024-08-01,榊電業株式会社,石油・資源,求人なし,,京都府京都市下京区寺町通松原上る京極町492,1948,,29 百万円,,,,代表取締役 近藤 拓
2024-08-01,京滋ガステック株式会社,ガス,求人なし,,滋賀県栗東市大橋4-6-16,1979,,22 百万円,,,,代表取締役 富田 充之
2024-08-01,株式会社明治産業,石油・資源,求人なし,,福岡県福岡市中央区薬院1-14-5ＭＧ薬院ビル 4Ｆ,1961,,40 百万円,,,,代表取締役 明永 喜年
2024-08-01,九北電機工業株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,,福岡県北九州市小倉北区井堀1-5-5,1979,,30 百万円,,,,代表取締役 柴戸 秀義
2024-08-01,盛岡ガス株式会社,ガス,求人なし,,岩手県盛岡市上田2-19-56,1930,,80 百万円,,,,代表取締役 熊谷 松亮
2024-08-01,東邦酸素工業株式会社,ガス,無,,神奈川県横浜市鶴見区江ケ崎町11-34,1952,,76 百万円,,,,代表取締役 鴨川 俊次
2024-08-01,静岡酸素株式会社,ガス,求人なし,,静岡県静岡市駿河区曲金5-16-6,1938,,50 百万円,,,,代表取締役 清水 健司
2024-08-01,株式会社廣電,石油・資源,求人なし,,大阪府大阪市東住吉区東田辺1-4-15廣電ビル,1980,,10 百万円,,,,代表取締役 廣瀬 太一
2024-08-01,福岡酸素株式会社,ガス,求人なし,,福岡県久留米市東町33-21,1919,,400 百万円,,,,代表取締役 福田 寛一
2024-08-01,信光実業株式会社,ガス,求人なし,,神奈川県藤沢市本藤沢1-2-8,1965,,32 百万円,,,,代表取締役 菅沢浩也
2024-08-01,富士工器株式会社,石油・資源,求人なし,,愛知県名古屋市中区新栄2-9-11城北ビル 2Ｆ,1947,,460 百万円,,,,代表取締役 前口 庄一郎
2024-08-01,サンコウメデイカル株式会社,ガス,求人なし,,岐阜県羽島郡岐南町平島9-28,1989,,10 百万円,,,,代表取締役 竹腰 大介
