更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-07-01,ライフワンズメディア株式会社,求人サイト・求人メディア,4,■事業内容：採用プラットフォーム事業■同社のサービス：医療福祉業界における採用プラットフォームとして『リスジョブ』という求人サイトを運営しています。リスジョブの”リス（lisu）”は”ライフ（life）”とサポート（support）”の頭文字を取って名付けられており、生活を支えるお仕事（≒医療介護福祉および周辺領域）を広く包含した国内最大級の求人サイトです。,東京都目黒区青葉台3-10-9VORT青葉台7F,2017,,16,20百万円,32.0,https://lifeones-media.jp/,
2024-07-01,株式会社ＣＯＦＦＩＳＯ,人材紹介・職業紹介,2,■事業内容就職情報誌の提供、求人・採用活動に関するコンサルティング～コフィッソとは将来を担う若者を応援する企業です～■代表メッセージ「若者の夢を実現に導くこと。それこそが、coffisoの使命だと思っています。」創業当時から現代の若者のポテンシャルの高さを信じ、大切にしております。この先、日本を支えていくのは弊社と同年代である10代20代の若者達です。COFFISOは常識に囚われず、全社員のアイデアを組み合わせ、イノベーションを生み出し続けます。そして、働く若者の支援、教育を通じ、若者の夢の実現を後押しすることで、未来の日本を創っていきます。,大阪府大阪市天王寺区上本町6-9-14上本町ビル5F,2017,,25,5百万円,25.3,http://coffiso.jp/index.html,
2024-08-01,株式会社ジャパン・スカイ・テクノロジーズ,技術系アウトソーシング（特定技術者派遣）,1,■事業内容：・航空機等の機体改修業務に伴う電気配線作業・航空機等の機体装備品製作・航空機等の機体装備品の整備・試験・検査に伴う操作技術作業・上記に付帯する一斉の事業■企業概要：平成29年4月に航空機等の機体改修を主業務として設立しました。警察及び防災用ヘリコプター、医療用ヘリコプター等、ヘリコプターを利用する際に発生するオプション機器の設置に伴う配線作業を行います。■実績機：BK117、EC135、AS365、Bell 206B、Bell 412、A109E、AW139、AW169、AW189,愛知県春日井市梅ケ坪町111-1,2017,,7,20百万円,35.0,なし,
2024-08-01,Ｆａｉｒｙ　Ｌｉｎｅ株式会社,人材派遣,無,≪事業運営サポート≫クライアントが抱える事業課題をあらゆる手段で解決しています。 2024年5月doda掲載求人より引用,東京都新宿区西新宿3-7-1,2017,,,5 百万円,,"Failed to retrieve page, status code: 410",代表取締役 増田 圭佑
2024-07-01,株式会社インターテック,アウトソーシング,1,広告業,東京都中央区日本橋本町4-3-4 東海日本橋ビル3階,2017,,10,"1,000万円",,https://ennavi.tokyo/,代表取締役 伊藤 公治
2024-06-01,株式会社ＧＬＯＢＡＬ　ＳＥＲＶＩＣＥ,人材派遣,1,■SES事業■受託開発■ITコンサルタント事業■労働派遣事業「派 13ｰ316228」■有料職業紹介事業「13-ユ-314533」,東京都千代田区神田神保町1-13 CONVEX神保町 7F,2017,,,2000万円,,http://global-service.co.jp/,代表取締役 浅野 拓哉
2024-07-01,株式会社オトラビスタ,人材紹介・職業紹介,4,■事業内容：人材紹介業（中途）を行っています。,東京都渋谷区渋谷1-3-9ヒューリック渋谷1丁目ビル5F,2017,,30,5百万円,34.0,http://www.otravista.jp/,
2024-07-01,株式会社ＫＥＹＣＲＥ,アウトソーシング,1,◆子会社「株式会社ＫＥＹクリエーション」を持ち、グループ会社の管理、およびバックオフィス業務全般を行っています。,東京都品川区西五反田4丁目31-18 目黒テクノビル,2017,,5,500万円（グループ計5710万円）,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010681839/: 'NoneType' object has no attribute 'get',代表取締役 大平 達也
2024-08-01,株式会社ＤＲＩＶＥ　ＬＩＮＥ,コールセンター,無,■SES事業■コンサルティング事業■人材紹介業※許可番号：27-ユ-302533■人材派遣業※許可番号：派 27-304545 2024年6月doda掲載求人より引用,大阪府大阪市中央区南船場2-10-30ＮＬＣ心斎橋アースビル 1Ｆ,2017,,,21 百万円,,"Failed to retrieve page, status code: 410",代表取締役 竹本 航也
2024-07-01,株式会社コーナー,人材紹介・職業紹介,6,"【事業概要】「人事の力で企業に加速力を、パラレルワーカーに成長の機会を」をミッションとして掲げている当社。複数企業の事業・組織・人事課題を解決できるパラレルワーカーを増やすことで、""経営できる人事""が多くの企業をインキュベーションしていきたいという想いと、スキルのアップデートをし続けられる個人を増やしていきたい想いを元に事業を運営しています。",東京都渋谷区渋谷1-1-3第35荒井ビル8・9F,2016,,20,5百万円,34.0,https://www.corner-inc.co.jp/,
