更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,上場市場名,平均年齢,従業員数,資本金,企業URL
2024-08-01,株式会社ベルコ帯広,葬儀,求人なし,,北海道帯広市西十八条南1-2,1982,代表取締役 杉本 良太,,,,10 百万円,
2024-08-01,株式会社丸松博愛舎,葬儀,求人なし,,北海道苫小牧市大町2-2-12,1959,代表取締役 多田 義孝,,,,10 百万円,
2024-08-01,株式会社松屋会館,ブライダル・ウェディング,求人なし,,福岡県久留米市田主丸町鷹取528-3,1981,代表取締役 小関 宜成,,,,10 百万円,
2024-08-01,株式会社クーポール会館,ブライダル・ウェディング,求人なし,,静岡県静岡市葵区紺屋町2-2,1977,代表取締役 佐原 佳則,,,,48 百万円,
2024-08-01,株式会社みづま,葬儀,求人なし,,福岡県田川郡川崎町大字池尻403-1,1998,代表取締役 廣滝 正明,,,,10 百万円,
2024-08-01,株式会社あいネットサービス,ブライダル・ウェディング,求人なし,,静岡県静岡市駿河区宮本町8-10,1960,代表取締役 杉山 茂之,,,,78 百万円,
2024-08-01,株式会社あいネット,ブライダル・ウェディング,求人なし,,静岡県静岡市駿河区新川2-6-6-2,1979,代表取締役 杉山 茂之,,,,20 百万円,
2024-08-01,ワークシステム株式会社,ブライダル・ウェディング,求人なし,,静岡県静岡市清水区草薙1-13-6,1997,代表取締役 佐々木 克美,,,,10 百万円,
2024-08-01,有限会社和光,葬儀,求人なし,,佐賀県多久市北多久町大字多久原668-1,1992,代表取締役 眞﨑 久司,,,,3 百万円,
2024-08-01,アイ・セレモニー株式会社,葬儀,求人なし,,佐賀県伊万里市松島町408-30,1995,代表取締役 木下 幹朗,,,,50 百万円,
2024-08-01,株式会社めもるホールディングス,葬儀,求人なし,,北海道恵庭市駒場町6-4-6,1960,代表取締役 村本 隆雄,,,,60 百万円,
2024-08-01,株式会社並川,ブライダル・ウェディング,求人なし,,北海道石狩郡当別町園生54,1984,代表取締役 並川 憲多,,,,20 百万円,
2024-08-01,株式会社浜松マルキチ,ブライダル・ウェディング,求人なし,,静岡県浜松市中央区尾張町125-26,1972,代表取締役 杉浦 安俊,,,,10 百万円,
2024-08-01,浜松葬儀株式会社,ブライダル・ウェディング,求人なし,,静岡県浜松市中央区東三方町76,1970,代表取締役社長 串 嘉,,,,10 百万円,
2024-08-01,有限会社服部葬儀社,葬儀,求人なし,,北海道余市郡余市町大川町10-12,1977,代表取締役 服部 秀己,,,,5 百万円,
2024-08-01,中央商事株式会社,葬儀,求人なし,,埼玉県飯能市大字新光42-1,1972,代表取締役 小坂雅彦,,,,50 百万円,
2024-08-01,有限会社飯能ハリカ,葬儀,求人なし,,埼玉県飯能市緑町22-2,1978,代表取締役 島田 秀和,,,,25 百万円,
2024-08-01,株式会社長崎新生活センター,葬儀,求人なし,,長崎県長崎市茂里町3-31上田花麗園ビル 3Ｆ,1965,代表取締役社長 大坪 進,,,,40 百万円,
2024-08-01,株式会社Ｓｈａｒｅ　Ｃｌａｐｐｉｎｇ,ブライダル・ウェディング,求人なし,,広島県広島市中区三川町5-8,1983,代表取締役 成瀬 健一,,,,30 百万円,
2024-08-01,サンメンバーズ株式会社,ブライダル・ウェディング,求人なし,,埼玉県本庄市小島南1-5-9,1981,代表取締役社長 髙橋 祐介,,,,50 百万円,
2024-08-01,沼津石材株式会社,葬儀,求人なし,,静岡県沼津市下香貫前原1477-1,1949,代表取締役 大場 俊幸,,,,20 百万円,
2024-08-01,株式会社東日本セレモニー,葬儀,求人なし,,神奈川県横浜市南区高砂町2-24,1974,代表取締役 渡邊 正典,,,,70 百万円,
2024-08-01,有限会社寿屋貸衣裳店,ブライダル・ウェディング,求人なし,,長崎県佐世保市光月町3-4,1972,取締役 貝塚 英樹,,,,3 百万円,
2024-08-01,ユウベル株式会社,葬儀,無,■冠婚葬祭互助会事業■冠婚事業■葬祭事業■ホテル事業■結婚紹介事業■介護事業■外食事業■スポーツ事業■旅行事業■互助会会員サービス事業 2024年5月doda掲載求人より引用,広島県広島市西区南観音3-16-19,1974,代表取締役 上田 利道,,,,42 百万円,
2024-08-01,株式会社藤原,葬儀,求人なし,,静岡県富士宮市中央町1-8,1980,代表取締役 藤原 満枝,,,,10 百万円,
2024-08-01,株式会社本郷屋,葬儀,求人なし,,埼玉県草加市神明1-11-4,1948,代表取締役 卯原 義夫,,,,20 百万円,
2024-08-01,株式会社弘前公益社,葬儀,無,,青森県弘前市大字松森町16,1981,代表取締役 清藤洋介,,,,20 百万円,
2024-08-01,株式会社池田屋,ブライダル・ウェディング,求人なし,,熊本県熊本市中央区安政町5-19,1950,代表取締役 池田 勝喜,,,,11 百万円,
2024-08-01,株式会社エーコープ熊本,葬儀,求人なし,,熊本県熊本市北区高平2-25-57,1970,代表取締役 丁 道夫,,,,230 百万円,
2024-08-01,株式会社山村陽一葬儀店,葬儀,求人なし,,青森県八戸市小中野1-1-6,1975,代表取締役 山村益広,,,,10 百万円,
