更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,クロイ電機株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,無,,京都府京都市南区上鳥羽大物町7京都南ビル 4Ｆ,1953,168,98 百万円,,,代表取締役 黒井 武弘,
2024-08-01,日軽形材株式会社,受託加工業（各種加工・表面処理）,求人なし,,岡山県高梁市落合町阿部2100,1973,168,400 百万円,,,代表取締役社長 福冨 俊輔,
2024-08-01,株式会社エフ・エー・エス,建設機械・その他輸送機器メーカー,求人なし,,栃木県宇都宮市陽南1-1-11,1991,168,30 百万円,,,代表取締役社長 横山 信夫,
2024-08-01,株式会社戸畑ターレット工作所,機械部品・金型メーカー,無,・創業６０年・自動車・電力機器・住宅設備等の部品を、様々な金属加工技術により製造しています。 （トヨタ様、TOTＯ様、安川電機様他大手取引先多数） 2023年11月doda掲載求人より引用,福岡県北九州市小倉南区新曽根11-31,1962,167,22 百万円,,,代表取締役 松本 大毅,
2024-08-01,テネコジャパン株式会社,自動車部品メーカー,無,,神奈川県横浜市中区桜木町1-1-8日石横浜ビル 18Ｆ,1973,167,499 百万円,,,代表取締役 城内 賢司,
2024-08-01,東洋ハイテック株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,8,■事業内容：粉粒体プラントのエンジニアリング事業、粉粒体機器の販売事業■概要：同社は食品・医薬・化学・電子部品など、あらゆる産業分野を対象に粉体機器・装置(粉にする機械、粉を混ぜる機械、粉を粒にする機械、粉を運ぶ機械など)の製造販売と粉体プラントエンジニアリング業務において60年の歴史を持つ老舗企業です。粉体プラントのエンジニアリング及び粉体ハンドリング技術においては業界トップクラスの実績を誇っており、また｢エンジニアリング会社｣｢メーカー｣｢商社｣という多面性も同社の安定性の基盤となっています。,大阪府大阪市北区万歳町3-20北大阪ビル,1964,171,98百万円,,,,
2024-08-01,象印チエンブロツク株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 天井走行クレーン／ポスト型ジブクレーン／ウォール型ジブクレーン／クレーンサドル／電気チェーンブロック／電気トロリ／手動チェーンブロック／手動トロリ／チェーンレバーホイスト／クランプ／チェーンスリング／チェーン荷締機／産業用リンクチェーンおよび、その関連装置の製造・販売 2023年5月doda掲載求人より引用,大阪府大阪狭山市岩室2-180,1952,166,45 百万円,,,代表取締役 津田 晴將,
2024-08-01,ヴィスコ・テクノロジーズ株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,,東京都港区海岸1-11-1ニューピア竹芝ノースタワー 20Ｆ,2003,166,493 百万円,38.9,,代表取締役社長 足立 秀之,スタンダード
2024-08-01,ＯＢＡＲＡ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,山梨県笛吹市境川町藤垈4151,2011,166,99 百万円,,,代表取締役 和泉 武宏,
2024-08-01,株式会社イチネン製作所,アミューズメント・エンタメ・ゲームメーカー,求人なし,,愛知県名古屋市天白区道明町15,2019,165,100 百万円,,,代表取締役 尾田 洋一,
